x y errorx errory
0.7 0.9988888888888889 0 0.0015713484026367724
0.8 0.9986666666666666 0 0.001329428981369153
0.9 0.9986304909560724 0 0.00132759570064146
1 0.9978870673952641 0 0.0019411126255785853
1.1 0.9974074074074074 0 0.0020828292873607155
1.2 0.9951452626586031 0 0.0034538659692961824
1.3 0.9927695073714491 0 0.004665124721380836
1.4 0.9893176935636332 0 0.005236296093766652
1.5 0.9850033134526176 0 0.007053740445168745
1.6 0.9774889254988102 0 0.008187702708075563
1.7 0.967689275450777 0 0.01066704183481513
1.8 0.9518723477959643 0 0.014375956832415318
1.9 0.9334118493674383 0 0.02230870551613219
2 0.912390901199495 0 0.025320018026219207
2.1 0.8798016053309101 0 0.030512785127359023
2.2 0.8220928882131847 0 0.041974812789101215
2.3 0.5898742231533801 0 0.11755127017922738
2.4 0.4582402753095823 0 0.17586744352548977
2.5 0.2241379909084911 0 0.1734518570450321
2.6 0.15045685427858946 0 0.1939273979295995
2.7 0.014438510207370227 0 0.18192790398989256
2.8 -0.03362809787040416 0 0.15949202043605987
2.9 0.021416137990776834 0 0.1829491981127988
3 0.015374828509699597 0 0.12749625457939168
3.1 0.022252696669522672 0 0.13195013163543884
3.2 0.011977652632519889 0 0.10992725510323757
3.3 -0.019977419484910802 0 0.1270697522858788
3.4 0.028116468541384044 0 0.10716773524623119
3.5 0.037226865773413796 0 0.09363726976023899
3.6 0.033879315249940124 0 0.09350342037310745
3.7 0.011182961072402204 0 0.09490030968840546
3.8 -0.00392509314872805 0 0.10288948012493579
3.9 -0.002658099825250385 0 0.09732415211827641
4 0.029760915479812307 0 0.08519771702698689
